Frequency,1k,10k,100k,1M,10M,100M,1G,10G,defect,x,Mg,electric field,tunability,loss,FOM
,0,0,1,0,0,0,0,0,0.34,0.51,0,20,0.2240949571,0.0036174459,61.9483921238
,0,0,1,0,0,0,0,0,0.34,0.52,0,20,0.2501305938,0.0041214675,60.6896921546
,0,0,1,0,0,0,0,0,0.34,0.53,0,20,0.2780787945,0.0046501569,59.7998735268
,0,0,1,0,0,0,0,0,0.34,0.54,0,20,0.3069490492,0.0052018673,59.0074739507
,0,0,1,0,0,0,0,0,0.34,0.55,0,20,0.3365839422,0.0057761045,58.2717889193
,0,0,1,0,0,0,0,0,0.34,0.56,0,20,0.3670654297,0.0063728648,57.5981824846
,0,0,1,0,0,0,0,0,0.34,0.57,0,20,0.3988100588,0.0069918972,57.0388905031
,0,0,1,0,0,0,0,0,0.34,0.58,0,20,0.4320557117,0.0076242806,56.6683906807
,0,0,1,0,0,0,0,0,0.34,0.59,0,20,0.4628022015,0.0082602762,56.0274487553
,0,0,1,0,0,0,0,0,0.34,0.6,0,20,0.4896547794,0.0088938121,55.0556694806
,0,0,1,0,0,0,0,0,0.34,0.61,0,20,0.5109658241,0.0095186438,53.6805279025
,0,0,1,0,0,0,0,0,0.34,0.62,0,20,0.5261027217,0.0101288212,51.941159915
,0,0,1,0,0,0,0,0,0.34,0.63,0,20,0.5358335972,0.0107193748,49.9873926603
,0,0,1,0,0,0,0,0,0.34,0.64,0,20,0.5407598615,0.0112783723,47.9466227143
,0,0,1,0,0,0,0,0,0.34,0.65,0,20,0.5413988233,0.0118061956,45.8571788612
,0,0,1,0,0,0,0,0,0.34,0.66,0,20,0.5381863713,0.0123023875,43.7464980923
,0,0,1,0,0,0,0,0,0.34,0.67,0,20,0.5316029787,0.0127674825,41.6372592404
,0,0,1,0,0,0,0,0,0.34,0.68,0,20,0.5223027468,0.0132016931,39.5633153145
,0,0,1,0,0,0,0,0,0.34,0.69,0,20,0.5105983019,0.0136049315,37.5303838832
,0,0,1,0,0,0,0,0,0.34,0.7,0,20,0.4967306852,0.0139766475,35.5400452934
,0,0,1,0,0,0,0,0,0.36,0.5,0,20,0.1937619448,0.0027964741,69.2879454167
,0,0,1,0,0,0,0,0,0.36,0.51,0,20,0.2166881859,0.0032653648,66.3595644505
,0,0,1,0,0,0,0,0,0.36,0.52,0,20,0.2418967187,0.0037607867,64.320775943
,0,0,1,0,0,0,0,0,0.36,0.53,0,20,0.2689374685,0.0042821597,62.8041659679
,0,0,1,0,0,0,0,0,0.36,0.54,0,20,0.2969084978,0.0048264088,61.5174781299
,0,0,1,0,0,0,0,0,0.36,0.55,0,20,0.325181067,0.005394008,60.2856108111
,0,0,1,0,0,0,0,0,0.36,0.56,0,20,0.3542893529,0.0059846682,59.1994979605
,0,0,1,0,0,0,0,0,0.36,0.57,0,20,0.3846616447,0.0065977927,58.3015657191
,0,0,1,0,0,0,0,0,0.36,0.58,0,20,0.4166586697,0.0072280997,57.6442892314
,0,0,1,0,0,0,0,0,0.36,0.59,0,20,0.4467183352,0.0078638829,56.8063310302
,0,0,1,0,0,0,0,0,0.36,0.6,0,20,0.4731996357,0.0084973564,55.6878649576
,0,0,1,0,0,0,0,0,0.36,0.61,0,20,0.4949024022,0.0091248164,54.2369709707
,0,0,1,0,0,0,0,0,0.36,0.62,0,20,0.5103663206,0.0097378911,52.4103540858
,0,0,1,0,0,0,0,0,0.36,0.63,0,20,0.5204291344,0.0103354333,50.3538767359
,0,0,1,0,0,0,0,0,0.36,0.64,0,20,0.5257229209,0.0109033808,48.2165055539
,0,0,1,0,0,0,0,0,0.36,0.65,0,20,0.5267452598,0.0114397882,46.0450185433
,0,0,1,0,0,0,0,0,0.36,0.66,0,20,0.5239326954,0.0119457105,43.8594837369
,0,0,1,0,0,0,0,0,0.36,0.67,0,20,0.5179228783,0.0124204587,41.6991747897
,0,0,1,0,0,0,0,0,0.36,0.68,0,20,0.5092229843,0.0128642078,39.5844806161
,0,0,1,0,0,0,0,0,0.36,0.69,0,20,0.4981253743,0.0132769058,37.5181824593
,0,0,1,0,0,0,0,0,0.36,0.7,0,20,0.4848663807,0.0136581603,35.5001237392
,0,0,1,0,0,0,0,0,0.38,0.5,0,20,0.1872009635,0.0024540063,76.2838153675
,0,0,1,0,0,0,0,0,0.38,0.51,0,20,0.2092730552,0.0029145796,71.8021409331
,0,0,1,0,0,0,0,0,0.38,0.52,0,20,0.2336501628,0.0034012932,68.6945079595
,0,0,1,0,0,0,0,0,0.38,0.53,0,20,0.259753406,0.0039145243,66.3563146102
,0,0,1,0,0,0,0,0,0.38,0.54,0,20,0.2868061364,0.0044521978,64.4190014199
,0,0,1,0,0,0,0,0,0.38,0.55,0,20,0.3139716089,0.005013031,62.6310926264
,0,0,1,0,0,0,0,0,0.38,0.56,0,20,0.3416989446,0.0055969404,61.0510243418
,0,0,1,0,0,0,0,0,0.38,0.57,0,20,0.3706961572,0.0062033893,59.7570359158
,0,0,1,0,0,0,0,0,0.38,0.58,0,20,0.4013635218,0.0068304348,58.7610501457
,0,0,1,0,0,0,0,0,0.38,0.59,0,20,0.4307910204,0.0074660457,57.7000245793
,0,0,1,0,0,0,0,0,0.38,0.6,0,20,0.4567814171,0.0080995969,56.3955740933
,0,0,1,0,0,0,0,0,0.38,0.61,0,20,0.4787967205,0.0087289987,54.8512764127
,0,0,1,0,0,0,0,0,0.38,0.62,0,20,0.49478966,0.009345144,52.9461782504
,0,0,1,0,0,0,0,0,0.38,0.63,0,20,0.505271256,0.0099471966,50.7953422776
,0,0,1,0,0,0,0,0,0.38,0.64,0,20,0.5109769702,0.0105245039,48.5511692575
,0,0,1,0,0,0,0,0,0.38,0.65,0,20,0.5124214888,0.0110696247,46.2907734171
,0,0,1,0,0,0,0,0,0.38,0.66,0,20,0.5100889206,0.0115839206,44.0342210736
,0,0,1,0,0,0,0,0,0.38,0.67,0,20,0.5046764016,0.012068267,41.8184650373
,0,0,1,0,0,0,0,0,0.38,0.68,0,20,0.4965696931,0.0125217233,39.6566575704
,0,0,1,0,0,0,0,0,0.38,0.69,0,20,0.4860597551,0.0129440539,37.5508135902
,0,0,1,0,0,0,0,0,0.38,0.7,0,20,0.4733910561,0.0133349719,35.4999665279
,0,0,1,0,0,0,0,0,0.4,0.5,0,20,0.1806414723,0.0021127379,85.501127376
,0,0,1,0,0,0,0,0,0.4,0.51,0,20,0.2018758357,0.0025650454,78.7026364913
,0,0,1,0,0,0,0,0,0.4,0.52,0,20,0.2253898382,0.0030432756,74.0615927785
,0,0,1,0,0,0,0,0,0.4,0.53,0,20,0.2505633533,0.0035482314,70.6164071768
,0,0,1,0,0,0,0,0,0.4,0.54,0,20,0.2766153812,0.0040792809,67.8098390331
,0,0,1,0,0,0,0,0,0.4,0.55,0,20,0.3029357493,0.0046333955,65.3809391622
,0,0,1,0,0,0,0,0,0.4,0.56,0,20,0.3293860853,0.005210219,63.2192399782
,0,0,1,0,0,0,0,0,0.4,0.57,0,20,0.3569901288,0.0058097113,61.4471374507
,0,0,1,0,0,0,0,0,0.4,0.58,0,20,0.3862305582,0.0064315838,60.0521691407
,0,0,1,0,0,0,0,0,0.4,0.59,0,20,0.4150443673,0.007066627,58.7330231665
,0,0,1,0,0,0,0,0,0.4,0.6,0,20,0.4404495656,0.0077004414,57.197963431
,0,0,1,0,0,0,0,0,0.4,0.61,0,20,0.4626729488,0.0083311526,55.5352867741
,0,0,1,0,0,0,0,0,0.4,0.62,0,20,0.4792848229,0.0089502381,53.5499522521
,0,0,1,0,0,0,0,0,0.4,0.63,0,20,0.4903392494,0.0095551079,51.3169766926
,0,0,1,0,0,0,0,0,0.4,0.64,0,20,0.4965054393,0.0101413773,48.9583835225
,0,0,1,0,0,0,0,0,0.4,0.65,0,20,0.4983991981,0.0106956717,46.5982139392
,0,0,1,0,0,0,0,0,0.4,0.66,0,20,0.4966156483,0.0112185804,44.2672451053
,0,0,1,0,0,0,0,0,0.4,0.67,0,20,0.4917986095,0.0117111597,41.9940144356
,0,0,1,0,0,0,0,0,0.4,0.68,0,20,0.4842833281,0.0121740624,39.7799281939
,0,0,1,0,0,0,0,0,0.4,0.69,0,20,0.4743624032,0.0126062371,37.6291830335
,0,0,1,0,0,0,0,0,0.4,0.7,0,20,0.4622845352,0.0130069759,35.5412771388
,0,0,1,0,0,0,0,0,0.42,0.5,0,20,0.1740906388,0.0017727125,98.205794115
,0,0,1,0,0,0,0,0,0.42,0.51,0,20,0.1945047826,0.0022168115,87.7407856284
,0,0,1,0,0,0,0,0,0.42,0.52,0,20,0.2171037197,0.0026873378,80.7876552401
,0,0,1,0,0,0,0,0,0.42,0.53,0,20,0.2413838655,0.0031841898,75.8069966495
,0,0,1,0,0,0,0,0,0.42,0.54,0,20,0.2664653957,0.0037074678,71.8726122719
,0,0,1,0,0,0,0,0,0.42,0.55,0,20,0.291878134,0.0042548878,68.5983150954
,0,0,1,0,0,0,0,0,0.42,0.56,0,20,0.3173854947,0.0048247785,65.782396995
,0,0,1,0,0,0,0,0,0.42,0.57,0,20,0.3436118364,0.0054175425,63.4257758753
,0,0,1,0,0,0,0,0,0.42,0.58,0,20,0.3714216948,0.0060328986,61.5660430295
,0,0,1,0,0,0,0,0,0.42,0.59,0,20,0.3995139301,0.0066659031,59.9339540504
,0,0,1,0,0,0,0,0,0.42,0.6,0,20,0.4243408144,0.0072997739,58.1306791434
,0,0,1,0,0,0,0,0,0.42,0.61,0,20,0.446532011,0.0079309251,56.3026387678
,0,0,1,0,0,0,0,0,0.42,0.62,0,20,0.4638127387,0.0085528949,54.2287429137
,0,0,1,0,0,0,0,0,0.42,0.63,0,20,0.4755293131,0.0091607627,51.9093582787
,0,0,1,0,0,0,0,0,0.42,0.64,0,20,0.4822534025,0.0097537395,49.4429241728
,0,0,1,0,0,0,0,0,0.42,0.65,0,20,0.4846329987,0.0103176953,46.9710516359
,0,0,1,0,0,0,0,0,0.42,0.66,0,20,0.4834652841,0.0108496295,44.5605339887
,0,0,1,0,0,0,0,0,0.42,0.67,0,20,0.4792591631,0.0113507295,42.2227631361
,0,0,1,0,0,0,0,0,0.42,0.68,0,20,0.4723457396,0.0118218241,39.9554024493
,0,0,1,0,0,0,0,0,0.42,0.69,0,20,0.4630187154,0.0122633241,37.7563792349
,0,0,1,0,0,0,0,0,0.42,0.7,0,20,0.4515453875,0.0126740644,35.6275124734
,0,0,1,0,0,0,0,0,0.44,0.5,0,20,0.1675131172,0.0014342825,116.7922757197
,0,0,1,0,0,0,0,0,0.44,0.51,0,20,0.1871242523,0.0018707473,100.0264719345
,0,0,1,0,0,0,0,0,0.44,0.52,0,20,0.2088264227,0.0023335787,89.4876280367
,0,0,1,0,0,0,0,0,0.44,0.53,0,20,0.2322307825,0.0028223626,82.2824049964
,0,0,1,0,0,0,0,0,0.44,0.54,0,20,0.256390214,0.0033371828,76.8283397601
,0,0,1,0,0,0,0,0,0.44,0.55,0,20,0.2808998823,0.0038775206,72.4431695605
,0,0,1,0,0,0,0,0,0.44,0.56,0,20,0.3055386245,0.0044409023,68.8010237244
,0,0,1,0,0,0,0,0,0.44,0.57,0,20,0.3305851221,0.0050268518,65.7638488765
,0,0,1,0,0,0,0,0,0.44,0.58,0,20,0.3569722474,0.0056354431,63.3441312538
,0,0,1,0,0,0,0,0,0.44,0.59,0,20,0.3842489421,0.0062645935,61.3366122
,0,0,1,0,0,0,0,0,0.44,0.6,0,20,0.408548981,0.0068979617,59.2274933913
,0,0,1,0,0,0,0,0,0.44,0.61,0,20,0.4303455353,0.0075285519,57.1617943286
,0,0,1,0,0,0,0,0,0.44,0.62,0,20,0.4483085275,0.008153093,54.9863134764
,0,0,1,0,0,0,0,0,0.44,0.63,0,20,0.4607365727,0.0087640174,52.5713895433
,0,0,1,0,0,0,0,0,0.44,0.64,0,20,0.4681484699,0.0093612466,50.0092017552
,0,0,1,0,0,0,0,0,0.44,0.65,0,20,0.4711399078,0.0099353408,47.4206086418
,0,0,1,0,0,0,0,0,0.44,0.66,0,20,0.4706160128,0.0104767419,44.9200731766
,0,0,1,0,0,0,0,0,0.44,0.67,0,20,0.4670349658,0.0109868133,42.5086831866
,0,0,1,0,0,0,0,0,0.44,0.68,0,20,0.4607338309,0.0114663932,40.1812342263
,0,0,1,0,0,0,0,0,0.44,0.69,0,20,0.4520082474,0.0119161122,37.9325269697
,0,0,1,0,0,0,0,0,0.44,0.7,0,20,0.4411653876,0.0123361275,35.7620645215
,0,0,1,0,0,0,0,0,0.46,0.5,0,20,0.1609106213,0.0010979839,146.5509843086
,0,0,1,0,0,0,0,0,0.46,0.51,0,20,0.1797307283,0.0015270339,117.6992392245
,0,0,1,0,0,0,0,0,0.46,0.52,0,20,0.2005617023,0.0019822558,101.1785170713
,0,0,1,0,0,0,0,0,0.46,0.53,0,20,0.2231140733,0.0024630618,90.5840337827
,0,0,1,0,0,0,0,0,0.46,0.54,0,20,0.2464047372,0.0029692904,82.9843848214
,0,0,1,0,0,0,0,0,0.46,0.55,0,20,0.2700558901,0.0035017366,77.1205607241
,0,0,1,0,0,0,0,0,0.46,0.56,0,20,0.2937611043,0.0040585776,72.3803098652
,0,0,1,0,0,0,0,0,0.46,0.57,0,20,0.3178974986,0.0046378393,68.5443108389
,0,0,1,0,0,0,0,0,0.46,0.58,0,20,0.3429073095,0.0052394937,65.4466498357
,0,0,1,0,0,0,0,0,0.46,0.59,0,20,0.3692306876,0.005862989,62.9765274334
,0,0,1,0,0,0,0,0,0.46,0.6,0,20,0.3930549622,0.0064953389,60.5133878696
,0,0,1,0,0,0,0,0,0.46,0.61,0,20,0.4142858684,0.0071253111,58.1428463383
,0,0,1,0,0,0,0,0,0.46,0.62,0,20,0.432752192,0.0077511114,55.8309859925
,0,0,1,0,0,0,0,0,0.46,0.63,0,20,0.4459364712,0.0083648153,53.3109764181
,0,0,1,0,0,0,0,0,0.46,0.64,0,20,0.4540921748,0.0089652622,50.6501834157
,0,0,1,0,0,0,0,0,0.46,0.65,0,20,0.4578822255,0.0095482543,47.9545486655
,0,0,1,0,0,0,0,0,0.46,0.66,0,20,0.4580403566,0.0100996606,45.3520543651
,0,0,1,0,0,0,0,0,0.46,0.67,0,20,0.4551033676,0.0106190769,42.8571496266
,0,0,1,0,0,0,0,0,0.46,0.68,0,20,0.4494269788,0.0111075891,40.4612535406
,0,0,1,0,0,0,0,0,0.46,0.69,0,20,0.4413106441,0.0115658902,38.1562194063
,0,0,1,0,0,0,0,0,0.46,0.7,0,20,0.4311212897,0.0119942948,35.9438630523
,0,0,1,0,0,0,0,0,0.48,0.5,0,20,0.1543026268,0.0007639859,201.9705164716
,0,0,1,0,0,0,0,0,0.48,0.51,0,20,0.1723418981,0.0011856499,145.3564817911
,0,0,1,0,0,0,0,0,0.48,0.52,0,20,0.192324698,0.0016332824,117.7534870883
,0,0,1,0,0,0,0,0,0.48,0.53,0,20,0.2140104622,0.0021061981,101.6098448669
